geo_name,geo_level,redfin_code,state_code,include,notes
"Southampton County, VA",county,3020,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3020
"Spotsylvania County, VA",county,3021,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3021
"St. Mary's County, MD",county,1327,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1327
"Stafford County, VA",county,3022,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3022
"Stanislaus County, CA",county,352,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=352
"Staunton, VA",county,3065,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3065
"Suffolk, VA",county,3066,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3066
"Sussex County, NJ",county,1909,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1909
"Sussex County, VA",county,3024,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3024
"Sutter County, CA",county,353,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=353
"Talbot County, MD",county,1329,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1329
"Tehama County, CA",county,354,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=354
"Tulare County, CA",county,356,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=356
"Tuolumne County, CA",county,357,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=357
"Union County, NJ",county,1910,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1910
"Ventura County, CA",county,358,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=358
"Virginia Beach, VA",county,3067,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3067
"Warren County, VA",county,3026,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3026
"Washington County, MD",county,1330,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1330
"Waynesboro, VA",county,3068,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3068
"Williamsburg, VA",county,3069,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3069
"Winchester, VA",county,3070,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3070
"Wise County, VA",county,3029,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3029
"Yolo County, CA",county,359,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=359
"York County, VA",county,3031,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3031
"Yuba County, CA",county,360,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=360
United States,nation,0,,1,Generated default nation scope
Northeast Region,region,,,1,Generated from Redfin state parent/census region metadata
South Region,region,,,1,Generated from Redfin state parent/census region metadata
West Region,region,,,1,Generated from Redfin state parent/census region metadata
California,state,9,CA,1,Generated from Redfin macro hierarchy; state_code=CA
Columbia,state,17,DC,1,Generated from Redfin macro hierarchy; state_code=DC
Maryland,state,43,MD,1,Generated from Redfin macro hierarchy; state_code=MD
New Jersey,state,12,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ
Virginia,state,42,VA,1,Generated from Redfin macro hierarchy; state_code=VA
